customer,age,occupation,regiontype,marriagestatus,children,income,numhandsets,handsetage,smartphone,currenthandsetprice,creditrating,homeowner,creditcard,avgbill,avgmins,avgrecurringcharge,avgoverbundlemins,avgroamcalls,callminuteschangepct,billamountchangepct,avgreceivedmins,avgoutcalls,avgincalls,peakoffpeakratio,peakoffpeakratiochangepct,avgdroppedcalls,lifetime,lastmonthcustomercarecalls,numretentioncalls,numretentionoffersaccepted,newfrequentnumbers,churn_dum1,churn_dum2,churn
1000004,26, crafts, town, yes, true,6,1,1812, false,0, C, true,true,38,7.5,38,0,0,-.029999999,0,.41,.33000001,0,.36239782,-6.3307695,0,60,0,0,0,0,1,0,0
1000012,36, , , yes, true,9,4,544, true,79.989998, A, false,true,35.299999,24.25,34.98,0,0,.39500001,-.0062000002,2.3900001,4,1.67,5.5868263,7.4995604,0,53,0,0,0,0,1,0,0
1000034,74, professional, town, yes, false,7,2,138, true,29.99, A, false,true,21.15,45.5,16.99,14,0,-.31,-.0832,2.28,0,.33000001,.5,-5.9404926,4.3299999,58,0,0,0,3,1,0,0
1000063,30, , suburban, no, false,6,3,122, true,9.9899998, C, false,true,91.18,332.75,75,0,0,-.61500001,-.1084,33.209999,9,4.6700001,8.6296616,-.066484705,5.3299999,50,.33000001,0,0,0,1,0,0
1000085,32, , town, yes, false,7,8,10, true,129.99001, A, false,true,93.019997,1348.25,75,4.75,1.92,-3.3050001,.493,436.53,59.330002,23,14.042685,-7.2085018,14.67,56,0,0,0,0,1,0,0
1000100,40, homemaker, rural, yes, true,7,4,161, true,9.9899998, A, false,true,71.860001,537.5,75,0,0,1.17,-.0122,99.720001,31.33,7,5.3966665,-17.093422,9.3299999,54,0,0,0,0,1,0,0
1000121,52, , , no, false,3,1,1619, false,0, D, false,true,33.849998,225,29.99,0,0,1.48,-.0502,156.56,3,0,.78880554,-.58374894,0,54,0,0,0,0,1,0,0
1000135,32, clerical, , yes, false,5,3,10, true,29.99, E, false,true,70.190002,797.25,60,43.25,0,-.185,-.18780001,300.87,22,3.3299999,3.3677657,-11.545657,11.67,49,.33000001,0,0,0,1,0,0
1000143,40, , , unknown, false,5,11,124, true,149.99001, C, true,false,260.81,3209.75,212.99001,0,0,-8.4350004,-.42379999,824.91998,141.67,28,4.3090858,21.52038,30.33,53,4.6700001,0,0,0,1,0,0
1000164,42, , , yes, true,4,2,517, true,29.99, A, false,false,32.27,112.5,31.98,0,0,-.050000001,-.0057999999,17.120001,6,0,5.7142859,9.3693314,1.67,49,0,0,0,0,1,0,0
