lap_after_pit;Fuel;Tyre Remaining;Tyre Choice;Lap Time
1;77.72057192;70.55073589;Extra Soft;68.955097
2;75.44114385;41.10147177;Extra Soft;69.18198108
3;73.16171577;11.65220766;Extra Soft;67.59886515
1;37.72057192;70.55073589;Extra Soft;67.322337
2;35.44114385;41.10147177;Extra Soft;65.48422108
3;33.16171577;11.65220766;Extra Soft;65.56310515
1;77.72057192;94.62962413;Soft;68.955097
2;75.44114385;89.25924826;Soft;69.94898108
3;73.16171577;83.88887239;Soft;68.52986515
4;70.88228769;78.51849652;Soft;69.06674923
5;68.60285962;73.14812065;Soft;68.8956333
6;66.32343154;67.77774478;Soft;68.66251738
7;64.04400346;62.40736891;Soft;67.70540146
8;61.76457539;57.03699304;Soft;69.08228553
9;59.48514731;51.66661717;Soft;68.51416961
10;57.20571923;46.29624131;Soft;67.82205368
1;37.72057192;94.62962413;Soft;67.657337
2;35.44114385;89.25924826;Soft;67.44122108
3;33.16171577;83.88887239;Soft;66.08810515
4;30.88228769;78.51849652;Soft;65.89998923
5;28.60285962;73.14812065;Soft;65.7658733
6;26.32343154;67.77774478;Soft;66.62775738
7;24.04400346;62.40736891;Soft;65.80364146
8;21.76457539;57.03699304;Soft;66.68352553
9;19.48514731;51.66661717;Soft;65.90940961
10;17.20571923;46.29624131;Soft;65.79729368
1;77.72057192;95.99426379;Medium;68.366228
2;75.44114385;91.98852757;Medium;69.02211208
3;73.16171577;87.98279136;Medium;68.45599615
4;70.88228769;83.97705514;Medium;69.84688023
5;68.60285962;79.97131893;Medium;67.8387643
6;66.32343154;75.96558271;Medium;68.80164838
7;64.04400346;71.9598465;Medium;68.41053246
8;61.76457539;67.95411029;Medium;68.63941653
9;59.48514731;63.94837407;Medium;68.88130061
10;57.20571923;59.94263786;Medium;68.83218468
1;37.72057192;95.99426379;Medium;67.281468
2;35.44114385;91.98852757;Medium;66.84035208
3;33.16171577;87.98279136;Medium;66.75623615
4;30.88228769;83.97705514;Medium;66.82112023
5;28.60285962;79.97131893;Medium;67.1660043
6;26.32343154;75.96558271;Medium;65.49588838
7;24.04400346;71.9598465;Medium;66.60677246
8;21.76457539;67.95411029;Medium;66.55765653
9;19.48514731;63.94837407;Medium;66.39354061
10;17.20571923;59.94263786;Medium;65.18642468
1;77.72057192;96.93782745;Hard;70.43817
2;75.44114385;93.8756549;Hard;69.90205408
3;73.16171577;90.81348235;Hard;68.66093815
4;70.88228769;87.7513098;Hard;69.95782223
5;68.60285962;84.68913725;Hard;69.3827063
6;66.32343154;81.6269647;Hard;69.62159038
7;64.04400346;78.56479215;Hard;69.04847446
8;61.76457539;75.5026196;Hard;69.50135853
9;59.48514731;72.44044705;Hard;68.54524261
10;57.20571923;69.3782745;Hard;67.63612668
1;37.72057192;96.93782745;Hard;67.76341
2;35.44114385;93.8756549;Hard;67.57229408
3;33.16171577;90.81348235;Hard;66.97617815
4;30.88228769;87.7513098;Hard;66.33206223
5;28.60285962;84.68913725;Hard;66.7209463
6;26.32343154;81.6269647;Hard;67.57583038
7;24.04400346;78.56479215;Hard;66.77871446
8;21.76457539;75.5026196;Hard;65.71559853
9;19.48514731;72.44044705;Hard;66.27348261
10;17.20571923;69.3782745;Hard;66.83136668
