lap_after_pit;Fuel;Tyre Remaining;Tyre Choice;Lap Time
1;57.5474257;97.06122641;Soft;73.80465969
2;55.09485141;94.12245282;Soft;73.43056409
3;52.64227711;91.18367923;Soft;73.3824685
4;50.18970282;88.24490564;Soft;73.1543729
5;47.73712852;85.30613204;Soft;73.14227731
1;57.5474257;95.38503428;Extra Soft;73.38565969
2;55.09485141;90.77006856;Extra Soft;73.64756409
3;52.64227711;86.15510284;Extra Soft;71.9524685
4;50.18970282;81.54013713;Extra Soft;73.3433729
5;47.73712852;76.92517141;Extra Soft;71.78627731
6;45.28455423;72.31020569;Extra Soft;71.53918171
7;42.83197993;67.69523997;Extra Soft;72.72608611
8;40.37940564;63.08027425;Extra Soft;71.61799052
9;37.92683134;58.46530853;Extra Soft;70.93989492
10;35.47425705;53.85034282;Extra Soft;70.53779933
1;57.5474257;97.45410458;Medium;72.61303369
2;55.09485141;94.90820915;Medium;72.42993809
3;52.64227711;92.36231373;Medium;73.0368425
4;50.18970282;89.81641831;Medium;73.4107469
5;47.73712852;87.27052289;Medium;72.05765131
6;45.28455423;84.72462746;Medium;72.35355571
7;42.83197993;82.17873204;Medium;71.72946011
8;40.37940564;79.63283662;Medium;72.33236452
9;37.92683134;77.0869412;Medium;73.18426892
10;35.47425705;74.54104577;Medium;71.59517333
1;57.5474257;97.06122641;Soft;72.29065969
2;55.09485141;94.12245282;Soft;74.04956409
3;52.64227711;91.18367923;Soft;73.8804685
4;50.18970282;88.24490564;Soft;73.2743729
5;47.73712852;85.30613204;Soft;72.75327731
6;45.28455423;82.36735845;Soft;71.74318171
7;42.83197993;79.42858486;Soft;71.98708611
8;40.37940564;76.48981127;Soft;72.51799052
9;37.92683134;73.55103768;Soft;72.70389492
10;35.47425705;70.61226409;Soft;71.38879933
1;116.5474257;97.45410458;Medium;76.48661769
2;114.0948514;94.90820915;Medium;76.83352209
3;111.6422771;92.36231373;Medium;76.0714265
4;109.1897028;89.81641831;Medium;77.0653309
5;106.7371285;87.27052289;Medium;76.66623531
6;104.2845542;84.72462746;Medium;76.48313971
7;101.8319799;82.17873204;Medium;75.20804411
8;99.37940564;79.63283662;Medium;76.20694852
9;96.92683134;77.0869412;Medium;75.94785292
10;94.47425705;74.54104577;Medium;76.31975733
1;57.5474257;97.67138117;Hard;73.21350169
2;55.09485141;95.34276234;Hard;73.85740609
3;52.64227711;93.01414351;Hard;73.7403105
4;50.18970282;90.68552468;Hard;73.9042149
5;47.73712852;88.35690586;Hard;72.80611931
6;45.28455423;86.02828703;Hard;72.61802371
7;42.83197993;83.6996682;Hard;72.54392811
8;40.37940564;81.37104937;Hard;73.64983252
9;37.92683134;79.04243054;Hard;72.49073692
10;35.47425705;76.71381171;Hard;72.74864133
1;90.5474257;97.45410458;Medium;75.84824169
2;88.09485141;94.90820915;Medium;75.88714609
3;85.64227711;92.36231373;Medium;75.0470505
4;83.18970282;89.81641831;Medium;75.3509549
5;80.73712852;87.27052289;Medium;75.32185931
6;78.28455423;84.72462746;Medium;74.20676371
7;75.83197993;82.17873204;Medium;74.54166811
8;73.37940564;79.63283662;Medium;73.71857252
9;70.92683134;77.0869412;Medium;73.99647692
10;68.47425705;74.54104577;Medium;74.38938133
1;90.5474257;97.45410458;Medium;74.04504169
2;88.09485141;94.90820915;Medium;74.60394609
3;85.64227711;92.36231373;Medium;75.2088505
4;83.18970282;89.81641831;Medium;73.7577549
5;80.73712852;87.27052289;Medium;74.50165931
6;78.28455423;84.72462746;Medium;74.28156371
7;75.83197993;82.17873204;Medium;74.35046811
8;73.37940564;79.63283662;Medium;74.74737252
9;70.92683134;77.0869412;Medium;72.94227692
10;68.47425705;74.54104577;Medium;73.25618133
1;74.5474257;97.06122641;Soft;74.3313811
2;72.09485141;94.12245282;Soft;74.06428551
3;69.64227711;91.18367923;Soft;74.19418991
4;67.18970282;88.24490564;Soft;73.81109431
5;64.73712852;85.30613204;Soft;73.53199872
6;62.28455423;82.36735845;Soft;74.49490312
7;59.83197993;79.42858486;Soft;72.72980753
8;57.37940564;76.48981127;Soft;73.50171193
9;54.92683134;73.55103768;Soft;72.12961633
10;52.47425705;70.61226409;Soft;72.17252074
11;50.02168275;67.6734905;Soft;72.23042514
12;47.56910846;64.73471691;Soft;72.91432955
13;45.11653416;61.79594332;Soft;71.72223395
14;42.66395987;58.85716973;Soft;71.48813835
15;40.21138557;55.91839613;Soft;72.01504276
16;37.75881128;52.97962254;Soft;71.55494716
17;35.30623698;50.04084895;Soft;72.00385157
18;32.85366269;47.10207536;Soft;72.13775597
19;30.40108839;44.16330177;Soft;71.71366038
20;27.9485141;41.22452818;Soft;72.27556478
21;25.4959398;38.28575459;Soft;70.51746918
22;23.04336551;35.346981;Soft;70.27037359
23;20.59079121;32.40820741;Soft;71.67727799
24;18.13821692;29.46943382;Soft;70.1151824
25;15.68564262;26.53066022;Soft;70.1250868
26;13.23306833;23.59188663;Soft;71.5359912
27;10.78049403;20.65311304;Soft;70.97589561
28;8.327919737;17.71433945;Soft;70.14480001
29;5.875345441;14.77556586;Soft;70.17070442
30;3.422771146;11.83679227;Soft;69.83160882
1;87.5474257;97.45410458;Medium;75.3744431
2;85.09485141;94.90820915;Medium;75.48934751
3;82.64227711;92.36231373;Medium;75.49925191
4;80.18970282;89.81641831;Medium;74.86915631
5;77.73712852;87.27052289;Medium;74.96106072
6;75.28455423;84.72462746;Medium;74.93696512
7;72.83197993;82.17873204;Medium;75.14286953
8;70.37940564;79.63283662;Medium;75.10977393
9;67.92683134;77.0869412;Medium;73.27467833
10;65.47425705;74.54104577;Medium;74.46958274
11;63.02168275;71.99515035;Medium;74.44248714
12;60.56910846;69.44925493;Medium;74.56839155
13;58.11653416;66.90335951;Medium;74.35529595
14;55.66395987;64.35746408;Medium;72.62120035
15;53.21138557;61.81156866;Medium;72.28210476
16;50.75881128;59.26567324;Medium;73.09800916
17;48.30623698;56.71977782;Medium;73.39091357
18;45.85366269;54.17388239;Medium;73.04381797
19;43.40108839;51.62798697;Medium;71.76072238
20;40.9485141;49.08209155;Medium;72.92562678
21;38.4959398;46.53619613;Medium;72.33153118
22;36.04336551;43.9903007;Medium;71.79143559
23;33.59079121;41.44440528;Medium;71.35833999
24;31.13821692;38.89850986;Medium;70.9232444
25;28.68564262;36.35261444;Medium;70.8071488
26;26.23306833;33.80671901;Medium;71.1670532
27;23.78049403;31.26082359;Medium;71.87895761
28;21.32791974;28.71492817;Medium;72.22586201
29;18.87534544;26.16903275;Medium;71.48076642
30;16.42277115;23.62313732;Medium;71.81467082
31;13.97019685;21.0772419;Medium;71.67057522
32;11.51762256;18.53134648;Medium;70.27147963
33;9.065048261;15.98545106;Medium;71.54238403
34;6.612473966;13.43955563;Medium;71.38428844
35;4.159899671;10.89366021;Medium;70.62819284
1;42.5474257;95.38503428;Extra Soft;71.8701491
2;40.09485141;90.77006856;Extra Soft;70.81505351
3;37.64227711;86.15510284;Extra Soft;71.77395791
4;35.18970282;81.54013713;Extra Soft;71.91586231
5;32.73712852;76.92517141;Extra Soft;71.54976672
6;30.28455423;72.31020569;Extra Soft;70.27667112
7;27.83197993;67.69523997;Extra Soft;70.30157553
