lap_after_pit;Fuel;Tyre Remaining;Tyre Choice;Lap Time
1;38.14744875;96.13062124;Extra Soft;60.3436986
2;36.29489749;92.26124248;Extra Soft;61.11402174
3;34.44234624;88.39186372;Extra Soft;59.80134488
4;32.58979498;84.52248496;Extra Soft;61.11666802
5;30.73724373;80.6531062;Extra Soft;60.17299115
6;28.88469248;76.78372744;Extra Soft;59.56631429
7;27.03214122;72.91434868;Extra Soft;59.18063743
8;25.17958997;69.04496992;Extra Soft;59.28396057
9;23.32703871;65.17559116;Extra Soft;59.2692837
10;21.47448746;61.3062124;Extra Soft;58.81060684
11;19.62193621;57.43683364;Extra Soft;59.61992998
12;17.76938495;53.56745488;Extra Soft;59.60825312
13;15.9168337;49.69807612;Extra Soft;60.35657626
14;14.06428244;45.82869736;Extra Soft;58.40189939
15;12.21173119;41.9593186;Extra Soft;59.21822253
16;10.35917993;38.08993984;Extra Soft;59.91054567
17;8.506628681;34.22056108;Extra Soft;59.01486881
18;6.654077427;30.35118232;Extra Soft;59.10219195
19;4.801526173;26.48180356;Extra Soft;59.55651508
20;2.948974919;22.6124248;Extra Soft;57.99283822
1;38.14744875;97.54210571;Soft;61.3891986
2;36.29489749;95.08421142;Soft;61.17052174
3;34.44234624;92.62631713;Soft;61.18084488
4;32.58979498;90.16842285;Soft;60.63016802
5;30.73724373;87.71052856;Soft;61.35949115
6;28.88469248;85.25263427;Soft;61.06881429
7;27.03214122;82.79473998;Soft;60.29413743
8;25.17958997;80.33684569;Soft;60.48646057
9;23.32703871;77.8789514;Soft;61.1067837
10;21.47448746;75.42105711;Soft;59.96210684
11;19.62193621;72.96316282;Soft;59.18842998
12;17.76938495;70.50526854;Soft;59.83975312
13;15.9168337;68.04737425;Soft;59.11507626
14;14.06428244;65.58947996;Soft;60.76839939
15;12.21173119;63.13158567;Soft;59.49572253
16;10.35917993;60.67369138;Soft;59.04104567
17;8.506628681;58.21579709;Soft;59.91536881
18;6.654077427;55.7579028;Soft;59.66769195
19;4.801526173;53.30000852;Soft;60.11201508
20;2.948974919;50.84211423;Soft;59.24633822
1;38.14744875;97.87063372;Medium;60.3689651
2;36.29489749;95.74126743;Medium;60.69928824
3;34.44234624;93.61190115;Medium;60.27361138
4;32.58979498;91.48253487;Medium;59.93793452
5;30.73724373;89.35316859;Medium;61.36225765
6;28.88469248;87.2238023;Medium;60.84258079
7;27.03214122;85.09443602;Medium;60.28190393
8;25.17958997;82.96506974;Medium;59.96322707
9;23.32703871;80.83570346;Medium;60.9345502
10;21.47448746;78.70633717;Medium;60.69887334
11;19.62193621;76.57697089;Medium;60.28519648
12;17.76938495;74.44760461;Medium;59.21451962
13;15.9168337;72.31823832;Medium;59.51684276
14;14.06428244;70.18887204;Medium;60.52316589
15;12.21173119;68.05950576;Medium;59.44048903
16;10.35917993;65.93013948;Medium;60.55081217
17;8.506628681;63.80077319;Medium;59.90813531
18;6.654077427;61.67140691;Medium;58.64545845
19;4.801526173;59.54204063;Medium;58.77378158
20;2.948974919;57.41267435;Medium;60.32610472
1;38.14744875;98.08022457;Hard;61.3671181
2;36.29489749;96.16044913;Hard;60.44944124
3;34.44234624;94.2406737;Hard;61.30976438
4;32.58979498;92.32089827;Hard;61.11008752
5;30.73724373;90.40112283;Hard;60.21741065
6;28.88469248;88.4813474;Hard;61.97873379
7;27.03214122;86.56157197;Hard;61.47905693
8;25.17958997;84.64179653;Hard;60.00038007
9;23.32703871;82.7220211;Hard;60.3467032
10;21.47448746;80.80224567;Hard;61.10802634
1;38.14744875;97.54210571;Soft;61.1251986
2;36.29489749;95.08421142;Soft;61.18952174
3;34.44234624;92.62631713;Soft;61.66884488
4;32.58979498;90.16842285;Soft;60.44116802
5;30.73724373;87.71052856;Soft;61.50049115
6;28.88469248;85.25263427;Soft;59.62881429
7;27.03214122;82.79473998;Soft;60.96013743
8;25.17958997;80.33684569;Soft;59.85746057
9;23.32703871;77.8789514;Soft;60.9107837
10;21.47448746;75.42105711;Soft;59.20110684
